--> Prueba: encontrar numero de ocurrencias en un archivo (todos)


Tiempo total de ejecucion: 4.050796985626221

Token | N# of occurrences | N# of filesw with token


--> Prueba: Buscando ocurrencias en todos los archivos.

commckinleygalileo|1|1
commdcmdhcehuffman|1|1
commegavisioncol|1|1
commindspringdialupuser|2|1
commnsincghood|1|1
commotwebgate|1|1
commvrstandler|1|1
commymnetwww|1|1
comnesusahost|1|1
comnetcomixbalmd|1|1
comnetcomixbiral|1|1
comnetcomixcoloh|1|1
comnetcomixkalmi|1|1
comnetcomixminmn|1|1
comnetcomixphxaz|2|1
comnetcomixseawa|1|1
comnetcomixvieva|1|1
comnetscapeh|1|1
comnjccts|1|1
comnorwestrelay|1|1
comnscnatsemibh|1|1
comnytimesgatekeeper|1|1
comopentextfirewall|1|1
comoracleusgatekeeper|1|1
compacbellsrvjlbrunn|1|1
compacbellsrvmnet|1|1
compcixnewlondonpmdyn|1|1
compcnetpcnet|1|1
compipelineusatpipe|2|1
compipexduac|1|1
comprimenetcgzip|1|1
comprimenetfhuip|1|1
comprimenetphxip|2|1
comprimenettusip|1|1
comprimenetyumip|1|1
comprodigypiwebayext|4|1
comqnetcalanc|6|6
comregiononlinenoble|1|1
comrockwellccaoproxy|1|1
comscruznetscmgj|1|1
comsyspacp|1|1
comtascreadistdsig|1|1
comteleportippdx|1|1
comtheriverpmp|1|1
comtidragon|1|1
comtiptonteldial|1|1
comtiran|1|1
comtransportpdx|1|1
comtrwspmeweber|1|1
comubetlou|1|1
comutelflagoba|1|1
comwebcrawlerbeach|1|1
comwecbwiwwwsrvr|1|1
comweinberggroupns|1|1
comwinternetdialupppp|1|1
comwniseaweed|1|1
comworldinfonetd|1|1
comworldui|2|1
comxilinxunknown|1|1
comzoomjpyeppp|1|1
coursehtml|1|1
date|73|43
davieshtml|1|1
degwdgmpaeosf|1|1
deptshtml|1|1
deruhrprimakelly|1|1
desbsbeast|1|1
deunilandauzepfzepfpc|1|1
deuniwuerzburgkksfirewall|1|1
dickinsonhtml|1|1
directoryshtml|1|1
dkmindmigate|1|1
dktelekbhkbh|1|1
docdirhtml|1|1
edualaskagiadmlibrary|1|1
edualaskauafdu|1|1
edualbanyasrcclimateozone|1|1
eduarizonaasaspc|1|1
eduarizonaatmobozone|1|1
eduarizonaatmochem|1|1
eduarizonaatmocrystal|1|1
eduarizonaatmocyclone|1|1
eduarizonaatmofractus|1|1
eduarizonaatmohalo|1|1
eduarizonaatmojed|1|1
eduarizonaatmolidar|1|1
eduarizonaatmonimbus|1|1
eduarizonaatmoozone|1|1
eduarizonaatmopearl|1|1
eduarizonaatmorain|1|1
eduarizonaatmospeedy|1|1
eduarizonaatmosteve|1|1
